,SEX,AGE,RACE,HCOVANY,EDUC,DEGFIELD,EMPSTAT,INCWAGE,INCWELFR,INCINVST,PWSTATE2,TRANTIME
0,2,85,8,2,7,0,3,0,0,0,0,0
1,1,51,1,2,6,0,3,12500,0,0,0,0
2,2,36,2,2,2,0,3,16400,0,0,0,0
3,1,74,2,2,0,0,3,0,0,0,0,0
4,1,49,1,1,7,0,3,0,0,0,0,0
5,1,31,2,1,6,0,3,300,0,0,0,0
6,2,76,2,2,7,0,3,0,0,0,0,0
7,1,60,2,1,4,0,3,15600,0,0,0,0
8,1,35,2,1,5,0,3,27600,0,0,0,0
9,2,72,2,2,6,0,3,0,0,0,0,0
10,1,41,1,1,6,0,3,0,0,0,0,0
11,2,42,2,2,2,0,3,0,0,0,0,0
12,1,21,2,2,7,0,3,2400,0,0,0,0
13,1,45,2,2,4,0,3,0,0,0,0,0
14,1,34,2,1,6,0,3,0,0,0,0,0
15,1,39,1,1,6,0,3,0,0,0,0,0
16,1,20,1,2,2,0,1,240,0,0,1,5
17,2,18,8,2,6,0,3,0,0,0,0,0
18,2,93,1,2,4,0,3,0,0,0,0,0
19,1,75,1,2,6,0,1,26000,0,0,1,1
20,2,59,1,2,6,0,3,0,0,0,0,0
21,1,18,2,2,6,0,3,0,0,0,0,0
22,1,30,1,1,3,0,3,9600,0,0,0,0
23,2,81,1,2,6,0,3,0,0,0,0,0
24,1,59,1,1,7,0,3,0,0,0,0,0
25,2,62,2,2,0,0,3,0,0,0,0,0
26,2,84,1,2,6,0,3,0,0,0,0,0
27,2,20,2,2,7,0,3,1600,0,0,0,0
28,1,22,2,1,6,0,3,0,0,0,0,0
29,1,30,2,1,6,0,3,0,0,0,0,0
30,1,51,2,2,4,0,3,12500,0,0,0,0
31,2,20,2,2,7,0,3,0,0,0,0,0
32,1,78,1,2,6,0,3,0,0,0,0,0
33,1,55,8,1,6,0,3,2500,0,0,0,0
34,2,19,1,2,6,0,3,5000,0,0,0,0
35,2,19,1,2,6,0,1,5300,0,0,1,5
36,2,63,2,2,6,0,3,0,0,0,0,0
37,1,59,2,1,5,0,3,0,0,0,0,0
38,1,39,8,2,6,0,3,15400,0,0,0,0
39,1,46,2,1,6,0,3,0,0,0,0,0
40,1,79,1,2,6,0,3,0,0,0,0,0
41,2,19,1,2,7,0,3,0,0,0,0,0
42,1,66,2,2,6,0,3,0,0,0,0,0
43,1,20,1,2,7,0,3,1100,0,0,0,0
44,1,42,1,2,6,0,3,0,0,0,0,0
45,2,79,2,2,10,23,3,0,0,0,0,0
46,1,51,2,2,4,0,3,12500,0,0,0,0
47,1,61,2,1,6,0,3,0,0,0,0,0
48,2,20,1,2,7,0,1,6000,0,0,1,60
49,2,30,1,1,6,0,3,200,0,0,0,0
50,1,58,1,1,2,0,3,2300,0,0,0,0
51,2,17,1,2,6,0,2,4000,0,0,0,0
52,1,19,1,2,6,0,3,1500,0,0,0,0
53,2,20,2,2,7,0,3,0,0,0,0,0
54,1,71,2,2,7,0,3,0,0,0,0,0
55,1,61,2,1,6,0,3,0,0,0,0,0
56,1,34,1,1,2,0,3,0,0,0,0,0
57,2,39,1,2,6,0,3,0,0,0,0,0
58,2,21,2,2,7,0,1,11100,0,0,1,30
59,1,30,2,2,6,0,3,0,0,0,0,0
60,2,45,1,2,6,0,3,0,0,0,0,0
61,1,52,2,2,6,0,3,0,0,0,0,0
62,1,37,1,2,5,0,3,0,0,0,0,0
63,1,32,2,2,7,0,3,0,0,0,0,0
64,2,21,1,2,7,0,3,3000,0,500,0,0
65,1,20,2,2,7,0,3,0,0,0,0,0
66,1,61,2,2,6,0,3,0,0,0,0,0
67,1,20,6,2,7,0,1,3200,0,0,1,10
68,1,50,2,2,6,0,1,25000,0,0,1,1
69,1,17,2,1,6,0,3,0,0,0,0,0
70,2,82,1,2,7,0,3,0,0,0,0,0
71,2,83,1,2,8,0,3,0,0,0,0,0
72,2,22,1,2,6,0,3,25000,0,0,0,0
73,1,65,2,2,6,0,3,0,0,0,0,0
74,1,54,3,1,10,62,3,26000,0,0,0,0
75,1,60,2,2,6,0,3,0,0,0,0,0
76,2,93,1,2,6,0,3,0,0,0,0,0
77,1,64,1,2,6,0,3,0,0,0,0,0
78,2,45,2,1,3,0,3,0,0,0,0,0
79,1,22,2,1,6,0,3,0,0,0,0,0
80,1,21,1,1,6,0,3,5800,0,-2300,0,0
81,2,33,2,1,6,0,3,0,0,0,0,0
82,1,47,2,2,6,0,3,0,0,0,0,0
83,1,45,1,1,6,0,3,35000,0,0,0,0
84,1,19,2,2,6,0,3,1500,0,0,0,0
85,1,34,2,1,5,0,3,0,0,0,0,0
86,1,82,1,2,6,0,3,0,0,0,0,0
87,2,43,1,1,10,62,3,0,0,0,0,0
88,2,19,1,2,7,0,3,0,0,0,0,0
89,1,16,2,1,4,0,3,0,0,0,0,0
90,1,64,2,2,6,0,1,26000,0,0,1,2
91,2,25,1,2,6,0,3,0,0,0,0,0
92,2,19,2,2,6,0,3,0,0,0,0,0
93,2,60,1,2,6,0,3,0,0,0,0,0
94,2,85,1,2,5,0,3,0,0,0,0,0
95,1,47,2,2,6,0,3,0,0,0,0,0
96,2,55,1,1,6,0,3,0,0,0,0,0
97,1,47,1,2,7,0,3,0,0,0,0,0
98,1,21,2,2,7,0,3,2400,0,0,0,0
99,1,20,1,2,6,0,1,3500,0,0,1,10
